,mean_impulsivity,upps_impulsivity_survey.lack_of_perseverance,upps_impulsivity_survey.lack_of_premeditation,upps_impulsivity_survey.negative_urgency,upps_impulsivity_survey.positive_urgency,upps_impulsivity_survey.sensation_seeking,Sex,Age,EverArrested
s004,1.911021117988756,1.5,1.6363636363999998,1.5833333333,1.1428571429,1.9166666666999999,0,35,False
s005,2.0881857843661518,1.7000000000000002,1.3636363636000002,1.75,1.0,2.8333333332999997,0,36,True
s009,2.9619909725619222,2.7,2.7272727273000004,3.0,3.0,2.3333333333,0,26,False
s011,2.0608468072968638,1.7000000000000002,2.0909090909,2.0,2.0714285714,2.1666666667,1,27,False
s012,2.2751280620632723,1.9,1.4545454544999998,2.3333333333,2.0,1.3333333333,1,36,False
s013,1.9596531958591445,1.6,2.0909090909,1.5,1.1428571429,2.1666666667,1,50,False
s015,2.113402070366534,1.1,2.1818181818,1.4166666666999999,1.2142857143,3.1666666667000003,0,27,False
s016,1.5435386204955006,1.2,1.0,1.9166666666999999,1.0,1.0833333333,1,20,False
s017,2.345413687274446,2.1,1.0,1.6666666666999999,1.3571428571000002,3.0,0,31,False
s018,1.9675386744998673,1.9,1.9090909091,2.0,2.0,2.1666666667,0,34,True
s019,1.9053944124854445,1.3,1.3636363636000002,1.5,1.2142857143,2.3333333333,1,32,True
s023,2.196274685478321,1.5,1.3636363636000002,2.0,1.3571428571000002,2.1666666667,0,46,True
s025,2.8076185216104275,2.8,1.8181818182,2.9166666667000003,2.4285714286,2.0,1,39,False
s028,2.5819026450424802,2.0,2.0,2.5833333333,2.0714285714,2.6666666667000003,0,31,False
s030,2.6395744801563303,2.1,2.1818181818,2.1666666667,2.1428571429,2.8333333332999997,0,27,False
s031,2.41112039642685,2.1,2.2727272727,2.1666666667,2.0714285714,2.9166666667000003,0,34,False
s032,1.7293361278178305,1.0,1.2727272726999999,1.25,1.0714285714,1.5,0,38,False
s033,2.107665108018436,1.8,1.6363636363999998,1.6666666666999999,1.6428571428999998,2.3333333333,1,46,True
s035,2.2897493537104276,2.5,1.4545454544999998,2.25,1.3571428571000002,1.5833333333,1,27,False
s036,2.2823785394743337,1.9,2.0909090909,2.1666666667,2.3571428571,2.9166666667000003,0,29,False
s038,1.6912280707415728,1.1,1.0,2.0,1.0714285714,1.1666666667,1,32,False
s039,2.0327171689258114,2.1,1.8181818182,1.8333333333,1.1428571429,1.1666666667,1,40,False
s040,2.945710120159117,2.8,3.0,2.25,2.0714285714,2.4166666667,0,49,True
s041,2.0201329101042185,1.4,1.0,1.75,1.1428571429,2.3333333333,1,34,False
s042,2.188901184368516,2.1,1.5454545455000002,2.0,1.1428571429,2.3333333333,0,28,False
s043,2.58887702945633,2.2,2.1818181818,2.0,1.0714285714,2.6666666667000003,0,41,True
s044,1.8641945632899177,1.1,1.0,2.0,1.0714285714,1.3333333333,1,36,False
s046,2.4527540158980354,2.1,1.8181818182,2.0,2.0,1.9166666666999999,0,25,False
s047,1.9376117139148528,1.2,1.9090909091,1.0833333333,1.2857142857,3.5,0,26,False
s048,1.9510964300245368,3.0,1.0,1.8333333333,1.1428571429,1.5,0,25,False
s049,2.1552840469295096,1.9,1.5454545455000002,2.0,1.5714285713999998,1.75,1,59,False
s051,2.0675445841112183,1.2,1.1818181818,1.3333333333,1.0,2.3333333333,0,30,True
s052,2.256245415531025,2.0,2.0,2.0,1.1428571429,2.0833333333,1,50,False
s053,2.2386186848105964,2.8,1.8181818182,1.9166666666999999,1.7857142857,1.5833333333,0,44,False
s054,2.8845444805755824,2.6,2.0,2.9166666667000003,2.1428571429,2.5833333333,0,23,False
s056,1.6077952477708852,1.1,1.0,1.25,1.0,2.25,0,48,False
s058,1.8695829265220896,1.4,1.4545454544999998,1.5833333333,1.5714285713999998,3.3333333332999997,0,34,False
s059,2.4395326046484804,2.3,2.1818181818,2.3333333333,1.4285714286000002,1.9166666666999999,1,30,False
s060,1.7354995658949082,1.7000000000000002,1.1818181818,1.8333333333,1.0714285714,1.0833333333,1,49,False
s062,1.535182661470408,1.5,1.0909090909,1.75,1.0714285714,1.0833333333,1,26,False
s063,2.614195343407216,2.0,2.0909090909,2.3333333333,2.1428571429,2.0833333333,1,40,False
s064,2.3724806850703994,1.7000000000000002,2.0909090909,2.1666666667,2.3571428571,2.3333333333,0,25,True
s066,1.6480822215251347,1.0,1.0909090909,2.3333333333,1.2142857143,1.4166666666999999,1,27,False
s068,2.6428439633124747,2.2,2.1818181818,2.5833333333,2.4285714286,2.6666666667000003,0,25,False
s071,2.22588809560039,1.7000000000000002,1.9090909091,1.75,1.1428571429,2.5,1,40,False
s074,2.0603333677708786,1.0,1.1818181818,1.8333333333,1.7142857143,2.8333333332999997,1,50,False
s080,2.6378633838978045,1.8,2.7272727273000004,2.5833333333,2.0,2.1666666667,1,43,False
s081,1.7784029796383534,1.9,1.0,1.3333333333,1.1428571429,1.5,1,42,False
s082,1.7483783130680053,1.5,1.1818181818,1.0,1.1428571429,1.3333333333,0,29,False
s085,2.4583219006589214,1.8,1.5454545455000002,1.0833333333,1.0,3.5,1,36,False
s087,2.0631181335791413,1.6,1.2727272726999999,3.0,1.1428571429,1.3333333333,1,49,False
s088,1.7766445018966097,1.7000000000000002,1.2727272726999999,1.25,1.0714285714,2.1666666667,0,27,False
s090,1.490845136145852,1.0,1.0,1.0,1.0,1.5,1,42,False
s091,2.4651434124291334,2.5,1.9090909091,1.6666666666999999,1.1428571429,1.25,1,30,False
s092,2.1837105430088024,2.3,1.0909090909,2.4166666667,1.7142857143,2.0,1,33,False
s094,2.017874216989918,1.6,1.5454545455000002,2.0,2.0,2.6666666667000003,0,40,True
s096,2.5033622377601676,2.9,1.3636363636000002,2.1666666667,1.9285714286,1.4166666666999999,1,39,False
s097,2.1810295801454735,1.6,1.3636363636000002,2.1666666667,1.0714285714,2.5,1,33,False
s099,2.1767629111712785,2.0,1.9090909091,2.4166666667,1.9285714286,2.0,1,26,False
s100,2.2851542854962137,1.3,2.0,2.25,2.2857142857,2.9166666667000003,0,20,False
s101,2.4654580780481776,1.9,2.2727272727,2.6666666667000003,1.5,3.0,1,32,False
s102,2.147962096390045,1.9,1.4545454544999998,2.1666666667,1.5,1.5,1,21,False
s103,3.2921442881866927,2.4,3.0,3.6666666667,3.2142857143,3.6666666667,1,31,False
s105,2.1938249730516612,1.3,1.8181818182,1.9166666666999999,1.6428571428999998,2.75,1,25,False
s106,1.3922871493854447,1.0,1.0,1.0,1.2857142857,1.25,1,35,False
s107,2.5793226805424485,2.1,2.0,2.5833333333,1.9285714286,2.5,0,35,True
s108,2.496981887567441,2.7,1.8181818182,3.0833333332999997,1.1428571429,1.5,1,43,False
s109,2.140073547022089,1.9,1.8181818182,1.8333333333,1.4285714286000002,2.8333333332999997,0,25,False
s112,2.230796147366774,1.8,1.7272727273,1.75,1.8571428571000002,2.75,0,24,False
s113,2.4107903182375447,2.2,1.8181818182,1.4166666666999999,1.0714285714,1.75,1,24,False
s114,2.3682888887569193,2.3,2.1818181818,2.5833333333,1.0,3.0,0,27,False
s117,2.222984864618399,1.3,2.3636363636,2.0833333333,1.6428571428999998,3.75,0,32,False
s122,2.1703253102931073,1.8,1.0,2.0833333333,1.2142857143,3.0833333332999997,1,25,False
